Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u / 50V","C_1210",129.0320,-89.9160,-90.0000,bottom
"C2","10u / 50V","C_1210",121.9200,-89.9160,-90.0000,bottom
"C3","10u / 50V","C_1210",125.4760,-89.9160,-90.0000,bottom
"C4","22n","C_0603",141.7955,-89.2175,0.0000,bottom
"C5","100n","C_0603",141.7955,-91.3765,180.0000,bottom
"C6","1u / 50V","C_1210",118.3640,-89.9160,-90.0000,bottom
"C7","47u","C_1210",121.6660,-103.9495,90.0000,bottom
"C8","47u","C_1210",118.1100,-103.9495,90.0000,bottom
"C9","47u","C_1210",128.7780,-103.9495,90.0000,bottom
"C10","47u","C_1210",125.2220,-103.9495,90.0000,bottom
"D1","STPS5L60","DO-214AB",125.2220,-96.7740,180.0000,bottom
"J3","CONN_01X01","MountingHole_3.2mm_M3_Pad",101.6000,-118.8720,0.0000,bottom
"J4","CONN_01X01","MountingHole_3.2mm_M3_Pad",144.7800,-76.2000,0.0000,bottom
"J5","CONN_01X01","MountingHole_3.2mm_M3_Pad",144.7800,-118.8720,0.0000,bottom
"J6","CONN_01X01","MountingHole_3.2mm_M3_Pad",101.6000,-76.2000,0.0000,bottom
"L1","744770115","SELF-WE-PD-XXL",137.1600,-100.8380,-90.0000,bottom
"R1","20k","C_0603",132.8420,-85.8520,0.0000,bottom
"R2","56k","C_0603",141.7955,-87.5665,180.0000,bottom
"R3","10k","C_0603",140.2080,-85.8520,180.0000,bottom
"U1","LMR14050","HSOP-8",135.6995,-89.4920,90.0000,bottom
